RMSE,MAE,SSIM
33.0142,25.5067,0.7631
32.8093,24.1461,0.8072
33.0679,24.2839,0.8107
32.8442,24.1583,0.8074
32.7602,24.0866,0.8084
33.1042,24.3909,0.8062
32.7188,24.0573,0.8084
32.6375,24.0166,0.8077
32.4112,23.8129,0.8084
33.0875,24.3661,0.8068
32.7827,24.1082,0.8072
32.8421,24.1630,0.8065
32.7499,24.1003,0.8071
32.7029,24.0485,0.8079
32.9517,24.2541,0.8065
32.4966,23.8755,0.8084
32.9027,24.2037,0.8071
32.7602,24.1134,0.8071
32.5767,23.9384,0.8079
32.7346,24.0889,0.8072
32.9321,24.2768,0.8060
32.8127,24.1360,0.8074
32.6563,24.0275,0.8074
33.0803,24.3778,0.8061
32.7020,24.0439,0.8084
32.9437,24.2729,0.8061
32.9376,24.2633,0.8067
32.7546,24.0782,0.8084
32.6106,23.9663,0.8090
32.8204,24.1271,0.8078
32.5819,23.9706,0.8075
32.8758,24.2155,0.8069
33.0098,24.3039,0.8067
32.8577,24.1802,0.8069
32.8263,24.1713,0.8064
32.5007,23.9105,0.8078
32.7868,24.1094,0.8081
32.8580,24.1908,0.8073
32.7679,24.1165,0.8074
32.7332,24.0906,0.8072
32.9209,24.2392,0.8073
32.8268,24.1638,0.8072
32.3953,23.8087,0.8075
32.7369,24.0812,0.8074
32.5131,23.8993,0.8087
32.7853,24.1160,0.8075
32.7370,24.0905,0.8070
32.2422,23.6670,0.8085
32.8272,24.1461,0.8077
32.7299,24.1031,0.8076
33.0282,24.3323,0.8062
32.8724,24.1995,0.8069
32.9371,24.2408,0.8066
32.6298,23.9938,0.8077
32.6961,24.0423,0.8076
32.7775,24.1110,0.8077
36.6588,27.6566,0.8115
41.7145,31.3619,0.7825
35.5127,26.2385,0.8137
38.5550,30.7422,0.8199
34.5315,27.4718,0.8066
34.5177,26.5465,0.7750
34.9761,27.1793,0.8003
39.2843,28.9850,0.8096
41.0286,33.8774,0.8178
32.6008,25.4381,0.8218
35.6338,27.1632,0.8060
37.3536,26.4397,0.8075
34.8167,25.0100,0.8115
27.8104,21.0427,0.8158
30.3965,23.0410,0.8071
34.6470,26.4830,0.7773
34.2282,24.9875,0.8131
33.7395,25.3829,0.7847
31.6604,24.7531,0.8491
33.8283,26.2266,0.7818
33.3037,26.2305,0.8391
36.3705,28.3800,0.7924
36.4598,28.1492,0.8102
33.0384,25.1742,0.8240
33.2722,25.6353,0.8374
32.3793,24.4213,0.7966
41.1116,30.9192,0.8272
34.2201,22.9927,0.8109
32.6764,25.5284,0.7738
32.2401,24.4217,0.8037
35.2956,26.4456,0.7945
34.0073,26.2706,0.7845
36.2201,25.4022,0.7996
34.0707,26.3192,0.7830
38.9351,29.7268,0.8095
34.3955,25.0975,0.8223
42.1210,30.4339,0.7993
32.1415,23.9839,0.7910
41.5857,30.1946,0.7902
35.2381,27.4165,0.8283
37.5698,28.9176,0.8109
38.4362,27.2845,0.8328
32.7750,25.5059,0.8264
41.7501,30.1458,0.7968
35.6267,27.1522,0.8438
31.9382,24.9678,0.8339
36.6053,26.0609,0.7931
34.4499,27.0298,0.7922
38.8165,29.8028,0.7270
35.0664,26.7685,0.8189
34.7546,25.0146,0.7379
30.8597,22.3344,0.7992
36.9213,28.1562,0.8094
36.0245,27.1287,0.8264
33.3571,26.0190,0.8112
33.4995,26.7442,0.7784
29.7830,22.6415,0.8237
36.0055,26.2830,0.8119
33.3318,25.3056,0.8203
31.5968,22.9049,0.8268
42.8117,30.9053,0.7878
37.6908,29.4649,0.8178
30.4815,22.1586,0.8079
35.5003,27.3060,0.8164
36.7740,28.1983,0.8427
33.2747,24.9488,0.8061
39.1840,30.5715,0.7877
30.4177,23.8699,0.8232
32.5060,25.0543,0.8081
35.5527,28.1435,0.8227
37.2535,30.8561,0.8133
36.2052,27.7181,0.8213
35.3176,27.5722,0.8104
35.4528,27.8344,0.8143
33.5673,23.8589,0.8109
33.2769,25.4388,0.7792
34.8603,27.0774,0.8257
38.9383,28.1955,0.8329
34.4900,25.2896,0.7520
44.3002,33.4132,0.7695
35.4894,26.5660,0.8122
35.8730,27.3974,0.7981
33.5769,26.6127,0.8148
37.3166,28.7346,0.8109
36.7446,27.6584,0.7789
37.3202,28.6058,0.8052
38.1789,28.9135,0.7852
31.4781,24.5431,0.8268
37.9789,28.0014,0.8089
34.9642,27.9301,0.8098
33.4690,25.6721,0.8140
32.0460,24.7284,0.7667
41.3680,31.2463,0.8299
38.7799,28.2371,0.7903
35.2593,26.5422,0.8059
35.6335,29.3033,0.7644
31.7945,24.7914,0.8180
41.7670,32.5103,0.8392
37.1071,27.6008,0.8062
34.5841,26.7320,0.8385
31.4952,24.3775,0.8066
32.2327,24.9847,0.7999
37.6324,29.7507,0.8188
35.3688,28.2094,0.8463
37.3931,29.2783,0.7816
33.6954,26.2194,0.8092
33.1106,25.1059,0.7898
33.5491,26.2092,0.8363
30.0450,23.0363,0.8233
33.5310,26.7305,0.8005
35.8837,26.9771,0.7898
36.3955,26.0678,0.8173
32.0752,25.4605,0.8129
32.6479,25.0083,0.8148
34.4841,27.1988,0.8089
35.3088,26.3214,0.8421
33.9921,24.6646,0.7987
33.3096,26.3144,0.8261
32.6792,24.8053,0.8286
35.7147,26.6875,0.8123
42.7966,30.5923,0.7944
30.0070,23.3947,0.7669
38.1390,25.9854,0.7851
34.2951,25.8807,0.8367
32.4118,24.4371,0.8054
33.7251,26.6856,0.8068
35.1948,28.1857,0.8393
32.6850,23.9057,0.7848
32.4625,25.2608,0.8068
33.7239,24.6099,0.8227
38.2240,28.2852,0.8161
36.1333,27.1910,0.8069
39.3204,31.1773,0.8097
31.2213,22.7796,0.7940
33.2226,27.1910,0.8344
40.5137,32.6675,0.8116
33.6130,25.4453,0.7899
31.9025,24.3442,0.8220
35.7661,25.4727,0.8158
36.4222,29.2636,0.8501
32.7502,23.5883,0.8048
34.4785,23.9046,0.8240
30.6772,23.5261,0.8488
33.9722,23.8163,0.8106
30.5384,23.1334,0.8195
33.6036,25.1827,0.8424
