rmse,n_estimators,max_depth,max_features
25.610857377780228,284,37,16
18.614667855618592,219,29,4
38.702926296421694,110,37,8
28.097798260537136,109,13,8
33.87548827773096,61,48,4
17.000972046830423,269,15,16
23.588469504287207,171,14,4
23.989684113127797,194,14,8
21.571751298899272,52,47,16
29.0999380838581,284,15,8
20.586962587143667,249,24,16
23.67319380608516,216,25,4
21.101599378670105,241,22,16
22.296684066500294,166,34,4
26.0046699438143,257,30,16
17.366494271758352,298,42,4
21.116242348438057,300,43,16
20.206461501850868,267,42,4
21.701689989230605,144,19,16
35.41185035419376,221,10,4
15.156619981792145,93,18,8
33.88702291830347,273,17,4
28.506926113240993,99,27,8
28.346005586587395,228,33,16
22.807365111303685,242,48,8
25.108160800216556,261,42,4
27.789976176292527,292,28,8
30.00704161337333,116,32,4
30.292225017062957,157,43,4
21.540289455441837,267,36,16
28.1376761798266,52,10,8
22.36366436625981,192,19,16
26.6946928886243,188,21,16
24.60676697490004,51,37,16
22.753967609895806,124,11,8
26.015593327683423,149,24,16
23.01689655134829,213,37,8
23.634857866034572,85,15,16
28.44954565453056,162,49,16
24.306810669478523,134,24,8
23.13183492741929,83,37,16
29.846264414692147,194,19,16
27.133966466966616,206,14,16
28.299869776988928,298,22,16
16.473584849774937,261,48,4
26.84258810421999,294,49,4
27.816686833737947,104,44,16
25.807944276772,103,48,8
28.079303154191702,191,15,8
28.896870310978855,283,40,16
19.11555277542756,167,23,16
24.321273671979924,208,11,4
23.60533785180073,139,39,4
27.081508101556818,188,14,4
23.399461319420634,240,32,4
24.532232762957747,60,23,16
19.438755988359954,241,26,16
19.474077258206453,147,32,16
24.50782619739815,239,22,8
27.961375162473008,146,35,4
30.266947893132947,257,18,16
29.386825453830603,212,27,16
22.505315534222618,171,37,4
25.780185820839833,54,16,16
28.150230653403955,146,14,4
29.907017362150977,112,47,8
17.274230745580613,157,10,8
22.71012452320275,295,31,16
15.663025020193357,131,20,4
24.292405637970223,67,34,4
21.57660742083817,130,37,4
24.05601449733712,146,20,8
22.55910341686159,175,31,16
25.283009924063876,241,22,4
21.610175724047657,211,11,8
33.55093747234848,103,23,8
24.145808757761795,187,11,8
21.12692125601391,95,26,4
24.681196040473427,221,17,4
32.048764266592634,157,10,8
18.154248020543463,265,42,8
30.70386548884409,180,26,4
24.44824232402761,88,17,16
25.964718869584598,200,20,8
35.03691900494926,275,43,8
26.53718117779809,90,41,8
25.365647570289948,286,44,8
28.694724376289972,262,35,4
21.537769587374363,120,15,16
27.39275965013383,127,29,16
27.44304626994275,65,39,16
30.32281557723903,209,41,4
26.62297229477944,136,15,4
38.08846225605925,58,34,8
24.413223735591792,270,36,16
23.522332151878164,188,10,16
35.13172929589878,190,10,16
26.93426196823365,148,21,16
22.32342689157724,227,22,16
22.11800433408621,228,24,16
20.941678396035233,235,25,16
31.493714689464724,104,17,16
27.602817380545595,165,28,16
26.838486960412258,246,17,8
20.15253190634686,97,25,4
28.36143028020735,164,26,4
21.261333001621967,105,20,4
25.838390749492074,86,49,4
28.280794626858746,196,22,8
34.17791156100494,296,26,8
22.7439372609253,205,21,8
33.10498547766729,285,33,8
26.74008536873702,130,40,4
24.647477942891285,65,12,4
24.926994233238517,70,37,16
26.876182068844084,280,20,4
23.321622398303735,90,21,16
24.304947413026838,193,16,4
21.78540034548116,235,48,8
24.395225232822842,224,44,8
23.657506468448602,247,49,8
28.84855094457194,156,30,8
15.468619297901103,240,49,8
22.513732788289463,243,50,8
21.772405900391583,139,45,8
21.92252719205357,152,14,4
30.551864801859374,262,39,8
30.744738617147465,269,32,4
33.85925963293682,90,10,8
18.7225743432644,255,27,16
24.75334745946937,268,16,4
19.9998527521435,205,27,16
20.176773859295263,146,39,4
22.090335220549505,226,35,4
20.908563551453177,298,23,16
23.476060726750852,215,24,16
28.556805666991952,202,26,16
26.693802314980346,183,20,16
21.980149763879638,226,29,16
20.408843782561902,244,48,16
27.49934192216868,50,30,16
28.629694791040386,185,20,16
18.8532055464051,106,17,8
28.22838312354307,249,38,16
26.61202185162281,121,48,8
25.31998105113208,195,19,4
33.8856053941742,256,37,16
16.89245155190903,290,44,16
20.6646399375842,108,11,16
25.88420022502265,187,39,8
27.96700086185559,80,29,16
16.7349020254312,63,10,16
29.598502497553085,50,26,4
26.440504548168494,288,50,16
22.79535287713197,150,43,16
18.863711992260512,232,23,16
19.05768621980996,293,33,16
25.798202286417894,152,10,4
24.067569981298227,96,44,16
17.782587788811753,112,42,16
17.30564948652291,250,19,8
21.169421559874692,247,50,8
32.345538899804254,203,41,4
19.517647607107634,116,10,4
26.13768522396709,202,29,8
24.249918200168093,299,45,4
26.661386475736663,137,46,16
24.99122526672174,239,32,4
28.702137256752653,60,13,8
38.75928410706508,150,20,16
23.064337928543086,295,33,16
30.656786557167383,77,23,8
31.755805018039617,176,36,16
22.058147919724302,256,23,8
29.004498363063767,176,19,16
37.06147731251329,117,28,8
30.690696037108502,268,35,8
24.720547501016235,106,24,4
27.753314395958864,111,49,16
20.791056632328043,267,21,8
28.398701855715935,269,31,16
20.130941141927906,87,14,16
26.015799783572024,207,10,4
24.61890192578154,115,29,4
25.634887574114696,168,36,16
18.976409723036717,173,50,4
14.487312817290018,184,49,4
29.617012331320552,187,50,4
27.192283612928456,149,43,4
23.094162293342663,223,43,4
30.0385006855785,146,44,4
29.922280920875878,50,40,4
18.402895558618113,220,50,8
22.362571290586477,232,46,8
25.685382839303028,291,49,16
35.240662548751835,221,20,16
22.651734463805415,140,25,8
23.31298958517413,209,29,16
25.267114259216093,228,46,16
24.981749930496136,211,27,4
18.618581600394453,155,24,16
27.095225504084432,259,21,8
25.32758520399497,258,34,8
22.94671961126402,129,27,4
14.259565388823216,298,22,4
22.57304292393259,272,48,4
20.913225638140972,159,33,16
20.956978462771357,183,30,16
21.910191419453856,166,36,8
34.29578052069143,157,36,8
26.250675447039097,283,27,4
23.279241733852178,220,50,4
27.158083942677177,99,35,4
15.678074896832937,132,39,16
24.634285507417047,78,19,4
26.70389983881685,191,50,16
16.005995580758167,246,21,4
26.2523482952597,226,13,4
22.64785404776245,219,16,4
24.68436491169562,58,39,8
19.560413383374996,188,11,16
23.264414267103444,205,42,16
22.877513309675397,105,11,4
23.105889749440102,182,22,4
23.921817592599307,215,22,16
21.471921106321478,105,16,4
23.873756256462215,50,44,16
30.690875021255298,127,32,8
25.20254135638532,131,17,16
21.76398167701627,210,38,4
29.895895828731135,261,38,4
24.070155285919558,137,19,16
18.429562479705247,224,26,4
24.260031601397003,178,39,8
31.759523900689025,202,29,16
22.785486735238262,119,20,16
18.16647833396979,285,41,4
25.872978389473978,295,27,4
25.662319194976195,57,34,4
21.302079592629052,288,42,4
23.570790256593277,234,40,4
22.409287080604273,136,42,16
19.104946019351736,298,44,4
27.028547101138038,294,16,4
23.70022796649987,138,25,16
22.81596586471508,146,11,4
26.0270702582997,207,28,4
22.197771472596283,133,24,16
27.355069085774577,243,24,4
